Tracing USDT probes and IO intervals... Ctrl-C to stop.

===== Phase Report (start–stop) =====

-- Summary by Phase --
Phase                                               Count     Avg(ms)     Min(ms)     Max(ms)     Total(ms)
[3185] Operator Slice (ND, X32)[41,0]: Elapsed 0 (ms)
[3186] Operator Slice (ND, X32)[42,0]: Elapsed 0 (ms)
[3187] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[3188] Operator Static Reshape (NC)[44,0]: Elapsed 0 (ms)
[3189] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[3190] Operator Slice (ND, X32)[46,0]: Elapsed 0 (ms)
[3191] Operator Multiply (ND)[47,0]: Elapsed 0 (ms)
[3192] Operator Multiply (ND)[48,0]: Elapsed 0 (ms)
[3193] Operator Subtract (ND)[49,0]: Elapsed 0 (ms)
[3194] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[3195] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[3196] Operator Add (ND)[52,0]: Elapsed 0 (ms)
[3197] Operator Copy (NC, X32)[53,0]: Elapsed 0 (ms)
[3198] Operator Copy (NC, X32)[53,1]: Elapsed 0 (ms)
[3199] Operator Static Reshape (NC)[54,0]: Elapsed 0 (ms)
[3200] Operator Static Reshape (NC)[55,0]: Elapsed 0 (ms)
[3201] Operator Slice (ND, X32)[56,0]: Elapsed 0 (ms)
[3202] Operator Slice (ND, X32)[57,0]: Elapsed 0 (ms)
[3203] Operator Multiply (ND)[58,0]: Elapsed 0 (ms)
[3204] Operator Multiply (ND)[59,0]: Elapsed 0 (ms)
[3205] Operator Subtract (ND)[60,0]: Elapsed 0 (ms)
[3206] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[3207] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[3208] Operator Add (ND)[63,0]: Elapsed 0 (ms)
[3209] Operator Copy (NC, X32)[64,0]: Elapsed 0 (ms)
[3210] Operator Copy (NC, X32)[64,1]: Elapsed 0 (ms)
[3211] Operator Static Reshape (NC)[65,0]: Elapsed 0 (ms)
[3212] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[3213] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[3214] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[3215] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[3216] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[3217] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[3218] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[3219] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[3220] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[3221] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[3222] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[3223] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[3224] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[3225] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[3226] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[3227] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[3228] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 1 (ms)
[3229] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[3230] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[3231] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[3232] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[3233] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[3234] Operator Reciprocal Square Root (NC)[22,0]: Elapsed 0 (ms)
[3235] Operator Multiply (ND)[23,0]: Elapsed 0 (ms)
[3236] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[3237] Operator Fully Connected (NC, QDU8, F32, QC8W)[25,0]: Elapsed 6 (ms)
[3238] Operator Sigmoid (NC)[26,0]: Elapsed 0 (ms)
[3239] Operator Multiply (ND)[27,0]: Elapsed 0 (ms)
[3240] Operator Fully Connected (NC, QDU8, F32, QC8W)[28,0]: Elapsed 5 (ms)
[3241] Operator Multiply (ND)[29,0]: Elapsed 0 (ms)
[3242] Operator Fully Connected (NC, QDU8, F32, QC8W)[30,0]: Elapsed 5 (ms)
[3243] Operator Add (ND)[31,0]: Elapsed 0 (ms)
[3244] Operator Multiply (ND)[32,0]: Elapsed 0 (ms)
[3245] Operator Sum (ND)[33,0]: Elapsed 0 (ms)
[3246] Operator Multiply (ND)[34,0]: Elapsed 0 (ms)
[3247] Operator Add (ND)[35,0]: Elapsed 0 (ms)
[3248] Operator Reciprocal Square Root (NC)[36,0]: Elapsed 0 (ms)
[3249] Operator Multiply (ND)[37,0]: Elapsed 0 (ms)
[3250] Operator Multiply (ND)[38,0]: Elapsed 0 (ms)
[3251] Operator Fully Connected (NC, QDU8, F32, QC8W)[39,0]: Elapsed 2 (ms)
[3252] Operator Static Reshape (NC)[40,0]: Elapsed 0 (ms)
[3253] Operator Slice (ND, X32)[41,0]: Elapsed 0 (ms)
[3254] Operator Slice (ND, X32)[42,0]: Elapsed 0 (ms)
[3255] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[3256] Operator Static Reshape (NC)[44,0]: Elapsed 0 (ms)
[3257] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[3258] Operator Slice (ND, X32)[46,0]: Elapsed 0 (ms)
[3259] Operator Multiply (ND)[47,0]: Elapsed 0 (ms)
[3260] Operator Multiply (ND)[48,0]: Elapsed 0 (ms)
[3261] Operator Subtract (ND)[49,0]: Elapsed 0 (ms)
[3262] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[3263] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[3264] Operator Add (ND)[52,0]: Elapsed 0 (ms)
[3265] Operator Copy (NC, X32)[53,0]: Elapsed 0 (ms)
[3266] Operator Copy (NC, X32)[53,1]: Elapsed 0 (ms)
[3267] Operator Static Reshape (NC)[54,0]: Elapsed 0 (ms)
[3268] Operator Static Reshape (NC)[55,0]: Elapsed 0 (ms)
[3269] Operator Slice (ND, X32)[56,0]: Elapsed 0 (ms)
[3270] Operator Slice (ND, X32)[57,0]: Elapsed 0 (ms)
[3271] Operator Multiply (ND)[58,0]: Elapsed 0 (ms)
[3272] Operator Multiply (ND)[59,0]: Elapsed 0 (ms)
[3273] Operator Subtract (ND)[60,0]: Elapsed 0 (ms)
[3274] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[3275] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[3276] Operator Add (ND)[63,0]: Elapsed 0 (ms)
[3277] Operator Copy (NC, X32)[64,0]: Elapsed 0 (ms)
[3278] Operator Copy (NC, X32)[64,1]: Elapsed 0 (ms)
[3279] Operator Static Reshape (NC)[65,0]: Elapsed 0 (ms)
[3280] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[3281] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[3282] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[3283] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[3284] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[3285] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[3286] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[3287] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[3288] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[3289] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[3290] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[3291] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[3292] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[3293] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[3294] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[3295] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[3296] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 0 (ms)
[3297] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[3298] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[3299] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[3300] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[3301] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[3302] Operator Reciprocal Square Root (NC)[22,0]: Elapsed 0 (ms)
[3303] Operator Multiply (ND)[23,0]: Elapsed 0 (ms)
[3304] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[3305] Operator Fully Connected (NC, QDU8, F32, QC8W)[25,0]: Elapsed 5 (ms)
[3306] Operator Sigmoid (NC)[26,0]: Elapsed 0 (ms)
[3307] Operator Multiply (ND)[27,0]: Elapsed 0 (ms)
[3308] Operator Fully Connected (NC, QDU8, F32, QC8W)[28,0]: Elapsed 5 (ms)
[3309] Operator Multiply (ND)[29,0]: Elapsed 0 (ms)
[3310] Operator Fully Connected (NC, QDU8, F32, QC8W)[30,0]: Elapsed 4 (ms)
[3311] Operator Add (ND)[31,0]: Elapsed 0 (ms)
[3312] Operator Multiply (ND)[32,0]: Elapsed 0 (ms)
[3313] Operator Sum (ND)[33,0]: Elapsed 0 (ms)
[3314] Operator Multiply (ND)[34,0]: Elapsed 0 (ms)
[3315] Operator Add (ND)[35,0]: Elapsed 0 (ms)
[3316] Operator Reciprocal Square Root (NC)[36,0]: Elapsed 0 (ms)
[3317] Operator Multiply (ND)[37,0]: Elapsed 0 (ms)
[3318] Operator Multiply (ND)[38,0]: Elapsed 0 (ms)
[3319] Operator Fully Connected (NC, QDU8, F32, QC8W)[39,0]: Elapsed 3 (ms)
[3320] Operator Static Reshape (NC)[40,0]: Elapsed 0 (ms)
[3321] Operator Slice (ND, X32)[41,0]: Elapsed 0 (ms)
[3322] Operator Slice (ND, X32)[42,0]: Elapsed 0 (ms)
[3323] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[3324] Operator Static Reshape (NC)[44,0]: Elapsed 0 (ms)
[3325] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[3326] Operator Slice (ND, X32)[46,0]: Elapsed 0 (ms)
[3327] Operator Multiply (ND)[47,0]: Elapsed 0 (ms)
[3328] Operator Multiply (ND)[48,0]: Elapsed 0 (ms)
[3329] Operator Subtract (ND)[49,0]: Elapsed 0 (ms)
[3330] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[3331] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[3332] Operator Add (ND)[52,0]: Elapsed 0 (ms)
[3333] Operator Copy (NC, X32)[53,0]: Elapsed 0 (ms)
[3334] Operator Copy (NC, X32)[53,1]: Elapsed 0 (ms)
[3335] Operator Static Reshape (NC)[54,0]: Elapsed 0 (ms)
[3336] Operator Static Reshape (NC)[55,0]: Elapsed 0 (ms)
[3337] Operator Slice (ND, X32)[56,0]: Elapsed 0 (ms)
[3338] Operator Slice (ND, X32)[57,0]: Elapsed 0 (ms)
[3339] Operator Multiply (ND)[58,0]: Elapsed 0 (ms)
[3340] Operator Multiply (ND)[59,0]: Elapsed 0 (ms)
[3341] Operator Subtract (ND)[60,0]: Elapsed 0 (ms)
[3342] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[3343] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[3344] Operator Add (ND)[63,0]: Elapsed 0 (ms)
[3345] Operator Copy (NC, X32)[64,0]: Elapsed 0 (ms)
[3346] Operator Copy (NC, X32)[64,1]: Elapsed 0 (ms)
[3347] Operator Static Reshape (NC)[65,0]: Elapsed 0 (ms)
[3348] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[3349] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[3350] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[3351] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[3352] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[3353] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[3354] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[3355] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[3356] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[3357] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[3358] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[3359] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[3360] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[3361] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[3362] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[3363] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[3364] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 1 (ms)
[3365] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[3366] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[3367] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[3368] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[3369] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[3370] Operator Reciprocal Square Root (NC)[22,0]: Elapsed 0 (ms)
[3371] Operator Multiply (ND)[23,0]: Elapsed 0 (ms)
[3372] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[3373] Operator Fully Connected (NC, QDU8, F32, QC8W)[25,0]: Elapsed 5 (ms)
[3374] Operator Sigmoid (NC)[26,0]: Elapsed 0 (ms)
[3375] Operator Multiply (ND)[27,0]: Elapsed 0 (ms)
[3376] Operator Fully Connected (NC, QDU8, F32, QC8W)[28,0]: Elapsed 4 (ms)
[3377] Operator Multiply (ND)[29,0]: Elapsed 0 (ms)
[3378] Operator Fully Connected (NC, QDU8, F32, QC8W)[30,0]: Elapsed 5 (ms)
[3379] Operator Add (ND)[31,0]: Elapsed 0 (ms)
[3380] Operator Multiply (ND)[32,0]: Elapsed 0 (ms)
[3381] Operator Sum (ND)[33,0]: Elapsed 0 (ms)
[3382] Operator Multiply (ND)[34,0]: Elapsed 0 (ms)
[3383] Operator Add (ND)[35,0]: Elapsed 0 (ms)
[3384] Operator Reciprocal Square Root (NC)[36,0]: Elapsed 0 (ms)
[3385] Operator Multiply (ND)[37,0]: Elapsed 0 (ms)
[3386] Operator Multiply (ND)[38,0]: Elapsed 0 (ms)
[3387] Operator Fully Connected (NC, QDU8, F32, QC8W)[39,0]: Elapsed 3 (ms)
[3388] Operator Static Reshape (NC)[40,0]: Elapsed 0 (ms)
[3389] Operator Slice (ND, X32)[41,0]: Elapsed 0 (ms)
[3390] Operator Slice (ND, X32)[42,0]: Elapsed 0 (ms)
[3391] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[3392] Operator Static Reshape (NC)[44,0]: Elapsed 0 (ms)
[3393] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[3394] Operator Slice (ND, X32)[46,0]: Elapsed 0 (ms)
[3395] Operator Multiply (ND)[47,0]: Elapsed 0 (ms)
[3396] Operator Multiply (ND)[48,0]: Elapsed 0 (ms)
[3397] Operator Subtract (ND)[49,0]: Elapsed 0 (ms)
[3398] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[3399] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[3400] Operator Add (ND)[52,0]: Elapsed 0 (ms)
[3401] Operator Copy (NC, X32)[53,0]: Elapsed 0 (ms)
[3402] Operator Copy (NC, X32)[53,1]: Elapsed 0 (ms)
[3403] Operator Static Reshape (NC)[54,0]: Elapsed 0 (ms)
[3404] Operator Static Reshape (NC)[55,0]: Elapsed 0 (ms)
[3405] Operator Slice (ND, X32)[56,0]: Elapsed 0 (ms)
[3406] Operator Slice (ND, X32)[57,0]: Elapsed 0 (ms)
[3407] Operator Multiply (ND)[58,0]: Elapsed 0 (ms)
[3408] Operator Multiply (ND)[59,0]: Elapsed 0 (ms)
[3409] Operator Subtract (ND)[60,0]: Elapsed 0 (ms)
[3410] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[3411] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[3412] Operator Add (ND)[63,0]: Elapsed 0 (ms)
[3413] Operator Copy (NC, X32)[64,0]: Elapsed 0 (ms)
[3414] Operator Copy (NC, X32)[64,1]: Elapsed 0 (ms)
[3415] Operator Static Reshape (NC)[65,0]: Elapsed 0 (ms)
[3416] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[3417] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[3418] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[3419] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[3420] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[3421] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[3422] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[3423] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[3424] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[3425] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[3426] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[3427] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[3428] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[3429] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[3430] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[3431] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[3432] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 0 (ms)
[3433] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[3434] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[3435] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[3436] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[3437] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[3438] Operator Reciprocal Square Root (NC)[22,0]: Elapsed 0 (ms)
[3439] Operator Multiply (ND)[23,0]: Elapsed 0 (ms)
[3440] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[3441] Operator Fully Connected (NC, QDU8, F32, QC8W)[25,0]: Elapsed 5 (ms)
[3442] Operator Sigmoid (NC)[26,0]: Elapsed 0 (ms)
[3443] Operator Multiply (ND)[27,0]: Elapsed 0 (ms)
[3444] Operator Fully Connected (NC, QDU8, F32, QC8W)[28,0]: Elapsed 5 (ms)
[3445] Operator Multiply (ND)[29,0]: Elapsed 0 (ms)
[3446] Operator Fully Connected (NC, QDU8, F32, QC8W)[30,0]: Elapsed 5 (ms)
[3447] Operator Add (ND)[31,0]: Elapsed 0 (ms)
[3448] Operator Multiply (ND)[32,0]: Elapsed 0 (ms)
[3449] Operator Sum (ND)[33,0]: Elapsed 0 (ms)
[3450] Operator Multiply (ND)[34,0]: Elapsed 0 (ms)
[3451] Operator Add (ND)[35,0]: Elapsed 0 (ms)
[3452] Operator Reciprocal Square Root (NC)[36,0]: Elapsed 0 (ms)
[3453] Operator Multiply (ND)[37,0]: Elapsed 0 (ms)
[3454] Operator Multiply (ND)[38,0]: Elapsed 0 (ms)
[3455] Operator Fully Connected (NC, QDU8, F32, QC8W)[39,0]: Elapsed 3 (ms)
[3456] Operator Static Reshape (NC)[40,0]: Elapsed 0 (ms)
[3457] Operator Slice (ND, X32)[41,0]: Elapsed 0 (ms)
[3458] Operator Slice (ND, X32)[42,0]: Elapsed 0 (ms)
[3459] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[3460] Operator Static Reshape (NC)[44,0]: Elapsed 0 (ms)
[3461] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[3462] Operator Slice (ND, X32)[46,0]: Elapsed 0 (ms)
[3463] Operator Multiply (ND)[47,0]: Elapsed 0 (ms)
[3464] Operator Multiply (ND)[48,0]: Elapsed 0 (ms)
[3465] Operator Subtract (ND)[49,0]: Elapsed 0 (ms)
[3466] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[3467] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[3468] Operator Add (ND)[52,0]: Elapsed 0 (ms)
[3469] Operator Copy (NC, X32)[53,0]: Elapsed 0 (ms)
[3470] Operator Copy (NC, X32)[53,1]: Elapsed 0 (ms)
[3471] Operator Static Reshape (NC)[54,0]: Elapsed 0 (ms)
[3472] Operator Static Reshape (NC)[55,0]: Elapsed 0 (ms)
[3473] Operator Slice (ND, X32)[56,0]: Elapsed 0 (ms)
[3474] Operator Slice (ND, X32)[57,0]: Elapsed 0 (ms)
[3475] Operator Multiply (ND)[58,0]: Elapsed 0 (ms)
[3476] Operator Multiply (ND)[59,0]: Elapsed 0 (ms)
[3477] Operator Subtract (ND)[60,0]: Elapsed 0 (ms)
[3478] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[3479] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[3480] Operator Add (ND)[63,0]: Elapsed 0 (ms)
[3481] Operator Copy (NC, X32)[64,0]: Elapsed 0 (ms)
[3482] Operator Copy (NC, X32)[64,1]: Elapsed 0 (ms)
[3483] Operator Static Reshape (NC)[65,0]: Elapsed 0 (ms)
[3484] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[3485] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[3486] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[3487] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[3488] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[3489] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[3490] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[3491] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[3492] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[3493] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[3494] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[3495] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[3496] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[3497] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[3498] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[3499] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
[3500] Operator Fully Connected (NC, QDU8, F32, QC8W)[16,0]: Elapsed 1 (ms)
[3501] Operator Add (ND)[17,0]: Elapsed 0 (ms)
[3502] Operator Multiply (ND)[18,0]: Elapsed 0 (ms)
[3503] Operator Sum (ND)[19,0]: Elapsed 0 (ms)
[3504] Operator Multiply (ND)[20,0]: Elapsed 0 (ms)
[3505] Operator Add (ND)[21,0]: Elapsed 0 (ms)
[3506] Operator Reciprocal Square Root (NC)[22,0]: Elapsed 0 (ms)
[3507] Operator Multiply (ND)[23,0]: Elapsed 0 (ms)
[3508] Operator Multiply (ND)[24,0]: Elapsed 0 (ms)
[3509] Operator Fully Connected (NC, QDU8, F32, QC8W)[25,0]: Elapsed 5 (ms)
[3510] Operator Sigmoid (NC)[26,0]: Elapsed 0 (ms)
[3511] Operator Multiply (ND)[27,0]: Elapsed 0 (ms)
[3512] Operator Fully Connected (NC, QDU8, F32, QC8W)[28,0]: Elapsed 4 (ms)
[3513] Operator Multiply (ND)[29,0]: Elapsed 0 (ms)
[3514] Operator Fully Connected (NC, QDU8, F32, QC8W)[30,0]: Elapsed 5 (ms)
[3515] Operator Add (ND)[31,0]: Elapsed 0 (ms)
[3516] Operator Multiply (ND)[32,0]: Elapsed 0 (ms)
[3517] Operator Sum (ND)[33,0]: Elapsed 0 (ms)
[3518] Operator Multiply (ND)[34,0]: Elapsed 0 (ms)
[3519] Operator Add (ND)[35,0]: Elapsed 0 (ms)
[3520] Operator Reciprocal Square Root (NC)[36,0]: Elapsed 0 (ms)
[3521] Operator Multiply (ND)[37,0]: Elapsed 0 (ms)
[3522] Operator Multiply (ND)[38,0]: Elapsed 0 (ms)
[3523] Operator Fully Connected (NC, QDU8, F32, QC8W)[39,0]: Elapsed 2 (ms)
[3524] Operator Static Reshape (NC)[40,0]: Elapsed 0 (ms)
[3525] Operator Slice (ND, X32)[41,0]: Elapsed 0 (ms)
[3526] Operator Slice (ND, X32)[42,0]: Elapsed 0 (ms)
[3527] Operator Slice (ND, X32)[43,0]: Elapsed 0 (ms)
[3528] Operator Static Reshape (NC)[44,0]: Elapsed 0 (ms)
[3529] Operator Slice (ND, X32)[45,0]: Elapsed 0 (ms)
[3530] Operator Slice (ND, X32)[46,0]: Elapsed 0 (ms)
[3531] Operator Multiply (ND)[47,0]: Elapsed 0 (ms)
[3532] Operator Multiply (ND)[48,0]: Elapsed 0 (ms)
[3533] Operator Subtract (ND)[49,0]: Elapsed 0 (ms)
[3534] Operator Multiply (ND)[50,0]: Elapsed 0 (ms)
[3535] Operator Multiply (ND)[51,0]: Elapsed 0 (ms)
[3536] Operator Add (ND)[52,0]: Elapsed 0 (ms)
[3537] Operator Copy (NC, X32)[53,0]: Elapsed 0 (ms)
[3538] Operator Copy (NC, X32)[53,1]: Elapsed 0 (ms)
[3539] Operator Static Reshape (NC)[54,0]: Elapsed 0 (ms)
[3540] Operator Static Reshape (NC)[55,0]: Elapsed 0 (ms)
[3541] Operator Slice (ND, X32)[56,0]: Elapsed 0 (ms)
[3542] Operator Slice (ND, X32)[57,0]: Elapsed 0 (ms)
[3543] Operator Multiply (ND)[58,0]: Elapsed 0 (ms)
[3544] Operator Multiply (ND)[59,0]: Elapsed 0 (ms)
[3545] Operator Subtract (ND)[60,0]: Elapsed 0 (ms)
[3546] Operator Multiply (ND)[61,0]: Elapsed 0 (ms)
[3547] Operator Multiply (ND)[62,0]: Elapsed 0 (ms)
[3548] Operator Add (ND)[63,0]: Elapsed 0 (ms)
[3549] Operator Copy (NC, X32)[64,0]: Elapsed 0 (ms)
[3550] Operator Copy (NC, X32)[64,1]: Elapsed 0 (ms)
[3551] Operator Static Reshape (NC)[65,0]: Elapsed 0 (ms)
[3552] Operator Multiply (ND)[0,0]: Elapsed 0 (ms)
[3553] Operator Transpose (ND, X32)[1,0]: Elapsed 0 (ms)
[3554] Operator Transpose (ND, X32)[2,0]: Elapsed 0 (ms)
[3555] Operator Static Reshape (NC)[3,0]: Elapsed 0 (ms)
[3556] Operator Static Reshape (NC)[4,0]: Elapsed 0 (ms)
[3557] Operator Batch Matrix Multiply (NC, F32)[5,0]: Elapsed 0 (ms)
[3558] Operator Static Reshape (NC)[6,0]: Elapsed 0 (ms)
[3559] Operator Add (ND)[7,0]: Elapsed 0 (ms)
[3560] Operator Softmax (NC, F32)[8,0]: Elapsed 0 (ms)
[3561] Operator Transpose (ND, X32)[9,0]: Elapsed 0 (ms)
[3562] Operator Static Reshape (NC)[10,0]: Elapsed 0 (ms)
[3563] Operator Static Reshape (NC)[11,0]: Elapsed 0 (ms)
[3564] Operator Batch Matrix Multiply (NC, F32)[12,0]: Elapsed 0 (ms)
[3565] Operator Static Reshape (NC)[13,0]: Elapsed 0 (ms)
[3566] Operator Transpose (ND, X32)[14,0]: Elapsed 0 (ms)
[3567] Operator Static Reshape (NC)[15,0]: Elapsed 0 (ms)
